===>fire F1: 22.92
===> mIoU: 56.82 mean F1: 56.82 OA: 83.42
[Train] Iter 1510/5000 | Time: 12.21s | Batch_OA: 93.07 | Batch_mIoU: 47.50 | CE_loss: 0.274
[Train] Iter 1520/5000 | Time: 12.78s | Batch_OA: 97.21 | Batch_mIoU: 49.92 | CE_loss: 0.226
[Train] Iter 1530/5000 | Time: 12.69s | Batch_OA: 95.36 | Batch_mIoU: 48.23 | CE_loss: 0.241
[Train] Iter 1540/5000 | Time: 12.71s | Batch_OA: 96.25 | Batch_mIoU: 49.00 | CE_loss: 0.364
[Train] Iter 1550/5000 | Time: 12.56s | Batch_OA: 95.58 | Batch_mIoU: 48.49 | CE_loss: 0.359
[Train] Iter 1560/5000 | Time: 12.64s | Batch_OA: 97.57 | Batch_mIoU: 49.18 | CE_loss: 0.220
[Train] Iter 1570/5000 | Time: 12.52s | Batch_OA: 95.14 | Batch_mIoU: 48.60 | CE_loss: 0.303
[Train] Iter 1580/5000 | Time: 12.77s | Batch_OA: 96.32 | Batch_mIoU: 48.65 | CE_loss: 0.258
[Train] Iter 1590/5000 | Time: 12.73s | Batch_OA: 97.63 | Batch_mIoU: 49.20 | CE_loss: 0.238
[Train] Iter 1600/5000 | Time: 12.87s | Batch_OA: 98.80 | Batch_mIoU: 50.02 | CE_loss: 0.222
[Train] Iter 1610/5000 | Time: 12.83s | Batch_OA: 93.50 | Batch_mIoU: 47.84 | CE_loss: 0.397
[Train] Iter 1620/5000 | Time: 12.68s | Batch_OA: 97.47 | Batch_mIoU: 49.06 | CE_loss: 0.238
[Train] Iter 1630/5000 | Time: 12.84s | Batch_OA: 97.97 | Batch_mIoU: 49.78 | CE_loss: 0.237
[Train] Iter 1640/5000 | Time: 12.34s | Batch_OA: 97.53 | Batch_mIoU: 49.45 | CE_loss: 0.203
[Train] Iter 1650/5000 | Time: 12.55s | Batch_OA: 95.81 | Batch_mIoU: 48.43 | CE_loss: 0.377
[Train] Iter 1660/5000 | Time: 12.71s | Batch_OA: 89.49 | Batch_mIoU: 46.61 | CE_loss: 0.317
[Train] Iter 1670/5000 | Time: 12.71s | Batch_OA: 93.47 | Batch_mIoU: 47.52 | CE_loss: 0.372
[Train] Iter 1680/5000 | Time: 12.43s | Batch_OA: 93.23 | Batch_mIoU: 48.14 | CE_loss: 0.337
[Train] Iter 1690/5000 | Time: 12.80s | Batch_OA: 95.82 | Batch_mIoU: 48.64 | CE_loss: 0.280
[Train] Iter 1700/5000 | Time: 12.73s | Batch_OA: 97.73 | Batch_mIoU: 49.90 | CE_loss: 0.255
[Train] Iter 1710/5000 | Time: 12.55s | Batch_OA: 97.30 | Batch_mIoU: 49.09 | CE_loss: 0.254
[Train] Iter 1720/5000 | Time: 12.71s | Batch_OA: 97.69 | Batch_mIoU: 49.68 | CE_loss: 0.217
[Train] Iter 1730/5000 | Time: 12.73s | Batch_OA: 95.99 | Batch_mIoU: 48.28 | CE_loss: 0.407
[Train] Iter 1740/5000 | Time: 12.63s | Batch_OA: 97.65 | Batch_mIoU: 49.60 | CE_loss: 0.282
[Train] Iter 1750/5000 | Time: 12.72s | Batch_OA: 96.73 | Batch_mIoU: 48.69 | CE_loss: 0.328
[Train] Iter 1760/5000 | Time: 12.86s | Batch_OA: 94.46 | Batch_mIoU: 48.89 | CE_loss: 0.412
[Train] Iter 1770/5000 | Time: 12.69s | Batch_OA: 94.94 | Batch_mIoU: 47.98 | CE_loss: 0.353
[Train] Iter 1780/5000 | Time: 12.71s | Batch_OA: 95.36 | Batch_mIoU: 48.93 | CE_loss: 0.381
[Train] Iter 1790/5000 | Time: 12.65s | Batch_OA: 94.88 | Batch_mIoU: 48.16 | CE_loss: 0.345
[Train] Iter 1800/5000 | Time: 12.72s | Batch_OA: 95.88 | Batch_mIoU: 48.45 | CE_loss: 0.291
[Train] Iter 1810/5000 | Time: 12.46s | Batch_OA: 98.10 | Batch_mIoU: 49.49 | CE_loss: 0.232
[Train] Iter 1820/5000 | Time: 12.65s | Batch_OA: 95.41 | Batch_mIoU: 49.17 | CE_loss: 0.375
[Train] Iter 1830/5000 | Time: 12.62s | Batch_OA: 92.86 | Batch_mIoU: 47.31 | CE_loss: 0.464
[Train] Iter 1840/5000 | Time: 12.54s | Batch_OA: 94.53 | Batch_mIoU: 48.30 | CE_loss: 0.232
[Train] Iter 1850/5000 | Time: 12.58s | Batch_OA: 94.67 | Batch_mIoU: 48.16 | CE_loss: 0.394
[Train] Iter 1860/5000 | Time: 12.54s | Batch_OA: 95.71 | Batch_mIoU: 48.39 | CE_loss: 0.337
[Train] Iter 1870/5000 | Time: 12.50s | Batch_OA: 95.98 | Batch_mIoU: 48.44 | CE_loss: 0.229
[Train] Iter 1880/5000 | Time: 12.66s | Batch_OA: 97.97 | Batch_mIoU: 49.81 | CE_loss: 0.219
[Train] Iter 1890/5000 | Time: 12.77s | Batch_OA: 97.90 | Batch_mIoU: 49.15 | CE_loss: 0.234
[Train] Iter 1900/5000 | Time: 12.64s | Batch_OA: 99.03 | Batch_mIoU: 49.66 | CE_loss: 0.116
[Train] Iter 1910/5000 | Time: 12.62s | Batch_OA: 97.76 | Batch_mIoU: 49.62 | CE_loss: 0.221
[Train] Iter 1920/5000 | Time: 12.77s | Batch_OA: 98.05 | Batch_mIoU: 49.08 | CE_loss: 0.225
[Train] Iter 1930/5000 | Time: 12.34s | Batch_OA: 98.96 | Batch_mIoU: 50.12 | CE_loss: 0.139
[Train] Iter 1940/5000 | Time: 12.70s | Batch_OA: 97.07 | Batch_mIoU: 49.36 | CE_loss: 0.339
[Train] Iter 1950/5000 | Time: 12.70s | Batch_OA: 96.57 | Batch_mIoU: 48.32 | CE_loss: 0.191
[Train] Iter 1960/5000 | Time: 12.58s | Batch_OA: 94.30 | Batch_mIoU: 48.56 | CE_loss: 0.268
[Train] Iter 1970/5000 | Time: 12.86s | Batch_OA: 96.80 | Batch_mIoU: 49.93 | CE_loss: 0.251
[Train] Iter 1980/5000 | Time: 12.58s | Batch_OA: 94.86 | Batch_mIoU: 48.69 | CE_loss: 0.227
[Train] Iter 1990/5000 | Time: 12.75s | Batch_OA: 95.87 | Batch_mIoU: 49.55 | CE_loss: 0.275
[Train] Iter 2000/5000 | Time: 12.74s | Batch_OA: 97.68 | Batch_mIoU: 49.17 | CE_loss: 0.229
Validating..........
===>fire Precision: 28.27
===>fire Recall: 32.46
===>fire IoU: 17.80
===>fire F1: 30.22
===> mIoU: 63.73 mean F1: 63.73 OA: 94.67
[Train] Iter 2010/5000 | Time: 12.17s | Batch_OA: 95.91 | Batch_mIoU: 48.90 | CE_loss: 0.340
[Train] Iter 2020/5000 | Time: 12.77s | Batch_OA: 94.55 | Batch_mIoU: 47.80 | CE_loss: 0.197
[Train] Iter 2030/5000 | Time: 12.30s | Batch_OA: 91.81 | Batch_mIoU: 46.72 | CE_loss: 0.460
[Train] Iter 2040/5000 | Time: 12.41s | Batch_OA: 97.87 | Batch_mIoU: 49.29 | CE_loss: 0.185
[Train] Iter 2050/5000 | Time: 12.53s | Batch_OA: 97.79 | Batch_mIoU: 50.04 | CE_loss: 0.266
[Train] Iter 2060/5000 | Time: 12.45s | Batch_OA: 96.72 | Batch_mIoU: 49.03 | CE_loss: 0.359
[Train] Iter 2070/5000 | Time: 12.58s | Batch_OA: 97.24 | Batch_mIoU: 49.62 | CE_loss: 0.221
[Train] Iter 2080/5000 | Time: 12.65s | Batch_OA: 98.14 | Batch_mIoU: 49.56 | CE_loss: 0.304
[Train] Iter 2090/5000 | Time: 12.66s | Batch_OA: 98.70 | Batch_mIoU: 50.04 | CE_loss: 0.189
[Train] Iter 2100/5000 | Time: 12.69s | Batch_OA: 97.50 | Batch_mIoU: 50.01 | CE_loss: 0.267
[Train] Iter 2110/5000 | Time: 12.68s | Batch_OA: 97.99 | Batch_mIoU: 49.24 | CE_loss: 0.235
[Train] Iter 2120/5000 | Time: 12.31s | Batch_OA: 98.86 | Batch_mIoU: 50.11 | CE_loss: 0.218
[Train] Iter 2130/5000 | Time: 12.85s | Batch_OA: 96.26 | Batch_mIoU: 49.46 | CE_loss: 0.279
[Train] Iter 2140/5000 | Time: 12.59s | Batch_OA: 96.74 | Batch_mIoU: 49.66 | CE_loss: 0.319
[Train] Iter 2150/5000 | Time: 12.47s | Batch_OA: 92.93 | Batch_mIoU: 47.70 | CE_loss: 0.276
[Train] Iter 2160/5000 | Time: 12.64s | Batch_OA: 92.14 | Batch_mIoU: 46.79 | CE_loss: 0.268
[Train] Iter 2170/5000 | Time: 12.57s | Batch_OA: 98.32 | Batch_mIoU: 49.68 | CE_loss: 0.233
[Train] Iter 2180/5000 | Time: 12.69s | Batch_OA: 99.33 | Batch_mIoU: 50.23 | CE_loss: 0.121
